wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205940-ppaa3nqr
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.060+-0.010 captured=0.00 wasted=0.00 clean=0.00
[seed 0] upd 1/390 step=512 ep_ret=0.049 cap=0.00 kl_l=0.0113 kl_f=0.0125 sps=25.6
[seed 0] upd 2/390 step=1024 ep_ret=-0.002 cap=0.00 kl_l=0.0099 kl_f=0.0099 sps=25.9
[seed 0] upd 3/390 step=1536 ep_ret=0.001 cap=0.00 kl_l=0.0118 kl_f=0.0104 sps=26.0
[seed 0] upd 4/390 step=2048 ep_ret=-0.002 cap=0.00 kl_l=0.0095 kl_f=0.0095 sps=26.0
[seed 0] upd 5/390 step=2560 ep_ret=0.224 cap=0.00 kl_l=0.0068 kl_f=0.0102 sps=26.0
[seed 0] upd 6/390 step=3072 ep_ret=-0.000 cap=0.00 kl_l=0.0069 kl_f=0.0098 sps=26.0
[seed 0] upd 7/390 step=3584 ep_ret=0.025 cap=0.00 kl_l=0.0060 kl_f=0.0085 sps=26.0
[seed 0] upd 8/390 step=4096 ep_ret=0.249 cap=0.00 kl_l=0.0071 kl_f=0.0108 sps=26.0
[seed 0] upd 9/390 step=4608 ep_ret=0.249 cap=0.00 kl_l=0.0056 kl_f=0.0116 sps=26.0
[seed 0] upd 10/390 step=5120 ep_ret=0.620 cap=0.00 kl_l=0.0047 kl_f=0.0085 sps=26.0
[seed 0] upd 11/390 step=5632 ep_ret=0.498 cap=0.00 kl_l=0.0037 kl_f=0.0101 sps=26.0
[seed 0] upd 12/390 step=6144 ep_ret=0.648 cap=0.00 kl_l=0.0062 kl_f=0.0104 sps=26.0
[seed 0] upd 13/390 step=6656 ep_ret=0.871 cap=0.00 kl_l=0.0073 kl_f=0.0099 sps=25.8
[seed 0] upd 14/390 step=7168 ep_ret=0.348 cap=0.00 kl_l=0.0038 kl_f=0.0097 sps=25.9
[seed 0] upd 15/390 step=7680 ep_ret=1.127 cap=0.00 kl_l=0.0047 kl_f=0.0100 sps=25.9
[seed 0] upd 16/390 step=8192 ep_ret=1.019 cap=0.00 kl_l=0.0038 kl_f=0.0095 sps=25.9
[seed 0] upd 17/390 step=8704 ep_ret=0.895 cap=0.00 kl_l=0.0088 kl_f=0.0120 sps=25.9
[seed 0] upd 18/390 step=9216 ep_ret=1.820 cap=0.00 kl_l=0.0067 kl_f=0.0099 sps=25.9
[seed 0] upd 19/390 step=9728 ep_ret=1.290 cap=0.00 kl_l=0.0094 kl_f=0.0126 sps=25.8
[seed 0] upd 20/390 step=10240 ep_ret=0.848 cap=0.00 kl_l=0.0069 kl_f=0.0111 sps=25.8
  [eval] return=0.073+-0.238 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-2.987
[seed 0] upd 21/390 step=10752 ep_ret=1.221 cap=0.00 kl_l=0.0085 kl_f=0.0112 sps=24.8
[seed 0] upd 22/390 step=11264 ep_ret=0.744 cap=0.00 kl_l=0.0138 kl_f=0.0114 sps=24.8
[seed 0] upd 23/390 step=11776 ep_ret=1.494 cap=0.00 kl_l=0.0107 kl_f=0.0105 sps=24.8
[seed 0] upd 24/390 step=12288 ep_ret=1.846 cap=0.00 kl_l=0.0081 kl_f=0.0102 sps=24.9
[seed 0] upd 25/390 step=12800 ep_ret=1.321 cap=0.00 kl_l=0.0067 kl_f=0.0120 sps=24.9
[seed 0] upd 26/390 step=13312 ep_ret=1.203 cap=0.00 kl_l=0.0065 kl_f=0.0089 sps=24.9
[seed 0] upd 27/390 step=13824 ep_ret=1.323 cap=0.00 kl_l=0.0065 kl_f=0.0102 sps=24.9
[seed 0] upd 28/390 step=14336 ep_ret=0.769 cap=0.00 kl_l=0.0078 kl_f=0.0117 sps=24.9
[seed 0] upd 29/390 step=14848 ep_ret=2.416 cap=0.00 kl_l=0.0071 kl_f=0.0096 sps=24.9
[seed 0] upd 30/390 step=15360 ep_ret=2.295 cap=0.00 kl_l=0.0051 kl_f=0.0091 sps=25.0
[seed 0] upd 31/390 step=15872 ep_ret=2.323 cap=0.00 kl_l=0.0072 kl_f=0.0104 sps=25.0
[seed 0] upd 32/390 step=16384 ep_ret=1.449 cap=0.00 kl_l=0.0083 kl_f=0.0108 sps=25.0
[seed 0] upd 33/390 step=16896 ep_ret=2.427 cap=0.00 kl_l=0.0080 kl_f=0.0111 sps=25.0
[seed 0] upd 34/390 step=17408 ep_ret=2.020 cap=0.00 kl_l=0.0054 kl_f=0.0096 sps=25.0
