wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205945-ni4bravs
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.056+-0.009 captured=0.00 wasted=0.00 clean=0.00
[seed 1] upd 1/390 step=512 ep_ret=0.049 cap=0.00 kl_l=0.0090 kl_f=0.0132 sps=25.7
[seed 1] upd 2/390 step=1024 ep_ret=0.175 cap=0.00 kl_l=0.0078 kl_f=0.0112 sps=25.8
[seed 1] upd 3/390 step=1536 ep_ret=0.449 cap=0.00 kl_l=0.0056 kl_f=0.0102 sps=25.8
[seed 1] upd 4/390 step=2048 ep_ret=0.301 cap=0.00 kl_l=0.0043 kl_f=0.0092 sps=25.7
[seed 1] upd 5/390 step=2560 ep_ret=0.376 cap=0.00 kl_l=0.0055 kl_f=0.0105 sps=25.7
[seed 1] upd 6/390 step=3072 ep_ret=0.577 cap=0.00 kl_l=0.0093 kl_f=0.0120 sps=25.7
[seed 1] upd 7/390 step=3584 ep_ret=0.897 cap=0.00 kl_l=0.0065 kl_f=0.0099 sps=25.7
[seed 1] upd 8/390 step=4096 ep_ret=0.674 cap=0.00 kl_l=0.0047 kl_f=0.0102 sps=25.8
[seed 1] upd 9/390 step=4608 ep_ret=0.175 cap=0.00 kl_l=0.0091 kl_f=0.0104 sps=25.8
[seed 1] upd 10/390 step=5120 ep_ret=0.324 cap=0.00 kl_l=0.0082 kl_f=0.0121 sps=25.7
[seed 1] upd 11/390 step=5632 ep_ret=0.376 cap=0.00 kl_l=0.0073 kl_f=0.0106 sps=25.7
[seed 1] upd 12/390 step=6144 ep_ret=0.225 cap=0.00 kl_l=0.0085 kl_f=0.0115 sps=25.7
[seed 1] upd 13/390 step=6656 ep_ret=0.752 cap=0.00 kl_l=0.0102 kl_f=0.0097 sps=25.7
[seed 1] upd 14/390 step=7168 ep_ret=1.371 cap=0.00 kl_l=0.0111 kl_f=0.0111 sps=25.7
[seed 1] upd 15/390 step=7680 ep_ret=1.917 cap=0.00 kl_l=0.0076 kl_f=0.0121 sps=25.7
[seed 1] upd 16/390 step=8192 ep_ret=2.219 cap=0.00 kl_l=0.0095 kl_f=0.0089 sps=25.7
[seed 1] upd 17/390 step=8704 ep_ret=2.694 cap=0.00 kl_l=0.0088 kl_f=0.0107 sps=25.6
[seed 1] upd 18/390 step=9216 ep_ret=1.748 cap=0.00 kl_l=0.0069 kl_f=0.0111 sps=25.5
[seed 1] upd 19/390 step=9728 ep_ret=3.174 cap=0.00 kl_l=0.0063 kl_f=0.0102 sps=25.5
[seed 1] upd 20/390 step=10240 ep_ret=2.780 cap=0.00 kl_l=0.0070 kl_f=0.0115 sps=25.5
  [eval] return=4.995+-0.001 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=+1.939
[seed 1] upd 21/390 step=10752 ep_ret=1.277 cap=0.00 kl_l=0.0048 kl_f=0.0119 sps=22.3
[seed 1] upd 22/390 step=11264 ep_ret=2.324 cap=0.00 kl_l=0.0053 kl_f=0.0107 sps=22.5
[seed 1] upd 23/390 step=11776 ep_ret=1.969 cap=0.00 kl_l=0.0076 kl_f=0.0110 sps=22.6
[seed 1] upd 24/390 step=12288 ep_ret=1.851 cap=0.00 kl_l=0.0076 kl_f=0.0106 sps=22.7
[seed 1] upd 25/390 step=12800 ep_ret=1.322 cap=0.00 kl_l=0.0038 kl_f=0.0100 sps=22.8
[seed 1] upd 26/390 step=13312 ep_ret=2.600 cap=0.00 kl_l=0.0060 kl_f=0.0127 sps=22.9
[seed 1] upd 27/390 step=13824 ep_ret=2.793 cap=0.00 kl_l=0.0069 kl_f=0.0086 sps=23.0
[seed 1] upd 28/390 step=14336 ep_ret=1.902 cap=0.00 kl_l=0.0089 kl_f=0.0086 sps=23.1
[seed 1] upd 29/390 step=14848 ep_ret=1.805 cap=0.00 kl_l=0.0089 kl_f=0.0114 sps=23.2
[seed 1] upd 30/390 step=15360 ep_ret=1.428 cap=0.00 kl_l=0.0096 kl_f=0.0103 sps=23.2
[seed 1] upd 31/390 step=15872 ep_ret=2.400 cap=0.00 kl_l=0.0086 kl_f=0.0081 sps=23.3
[seed 1] upd 32/390 step=16384 ep_ret=2.428 cap=0.00 kl_l=0.0062 kl_f=0.0102 sps=23.4
[seed 1] upd 33/390 step=16896 ep_ret=2.227 cap=0.00 kl_l=0.0058 kl_f=0.0123 sps=23.4
[seed 1] upd 34/390 step=17408 ep_ret=1.553 cap=0.00 kl_l=0.0060 kl_f=0.0093 sps=23.5
