wandb: Tracking run with wandb version 0.28.0
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /data/hjhong/l2/wandb/wandb/offline-run-20260704_205950-ullnmq5k
wandb: View this run in the terminal with `wandb leet`
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/nn/modules/linear.py:125: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return F.linear(input, self.weight, self.bias)
/data/hjhong/l2/newURP/.venv-l2/lib/python3.10/site-packages/torch/autograd/graph.py:823: UserWarning: Deterministic behavior was enabled with either `torch.use_deterministic_algorithms(True)` or `at::Context::setDeterministicAlgorithms(true)`, but this operation is not deterministic because it uses CuBLAS and you have CUDA >= 10.2. To enable deterministic behavior in this case, you must set an environment variable before running your PyTorch application: CUBLAS_WORKSPACE_CONFIG=:4096:8 or CUBLAS_WORKSPACE_CONFIG=:16:8. For more information, go to https://docs.nvidia.com/cuda/cublas/index.html#results-reproducibility (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:217.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[baseline hold_position] return=0.000+-0.000 captured=0.00 wasted=0.00 clean=0.00
[baseline scripted_shaping] return=3.057+-0.008 captured=0.00 wasted=0.00 clean=0.00
[seed 2] upd 1/390 step=512 ep_ret=0.000 cap=0.00 kl_l=0.0103 kl_f=0.0111 sps=25.9
[seed 2] upd 2/390 step=1024 ep_ret=-0.000 cap=0.00 kl_l=0.0094 kl_f=0.0101 sps=25.8
[seed 2] upd 3/390 step=1536 ep_ret=0.174 cap=0.00 kl_l=0.0104 kl_f=0.0096 sps=25.7
[seed 2] upd 4/390 step=2048 ep_ret=0.397 cap=0.00 kl_l=0.0071 kl_f=0.0108 sps=25.7
[seed 2] upd 5/390 step=2560 ep_ret=0.297 cap=0.00 kl_l=0.0054 kl_f=0.0105 sps=25.7
[seed 2] upd 6/390 step=3072 ep_ret=0.177 cap=0.00 kl_l=0.0043 kl_f=0.0114 sps=25.7
[seed 2] upd 7/390 step=3584 ep_ret=0.299 cap=0.00 kl_l=0.0055 kl_f=0.0095 sps=25.7
[seed 2] upd 8/390 step=4096 ep_ret=0.175 cap=0.00 kl_l=0.0056 kl_f=0.0096 sps=25.6
[seed 2] upd 9/390 step=4608 ep_ret=0.349 cap=0.00 kl_l=0.0070 kl_f=0.0101 sps=25.6
[seed 2] upd 10/390 step=5120 ep_ret=0.375 cap=0.00 kl_l=0.0065 kl_f=0.0094 sps=25.6
[seed 2] upd 11/390 step=5632 ep_ret=0.125 cap=0.00 kl_l=0.0075 kl_f=0.0093 sps=25.6
[seed 2] upd 12/390 step=6144 ep_ret=0.652 cap=0.00 kl_l=0.0059 kl_f=0.0103 sps=25.6
[seed 2] upd 13/390 step=6656 ep_ret=0.050 cap=0.00 kl_l=0.0074 kl_f=0.0123 sps=25.6
[seed 2] upd 14/390 step=7168 ep_ret=0.100 cap=0.00 kl_l=0.0079 kl_f=0.0124 sps=25.6
[seed 2] upd 15/390 step=7680 ep_ret=0.300 cap=0.00 kl_l=0.0098 kl_f=0.0108 sps=25.6
[seed 2] upd 16/390 step=8192 ep_ret=0.175 cap=0.00 kl_l=0.0112 kl_f=0.0097 sps=25.6
[seed 2] upd 17/390 step=8704 ep_ret=0.543 cap=0.00 kl_l=0.0102 kl_f=0.0126 sps=25.6
[seed 2] upd 18/390 step=9216 ep_ret=0.299 cap=0.00 kl_l=0.0090 kl_f=0.0083 sps=25.6
[seed 2] upd 19/390 step=9728 ep_ret=0.673 cap=0.00 kl_l=0.0107 kl_f=0.0117 sps=25.6
[seed 2] upd 20/390 step=10240 ep_ret=0.125 cap=0.00 kl_l=0.0076 kl_f=0.0090 sps=25.6
  [eval] return=1.604+-1.158 captured=0.00 wasted=0.00 clean=0.00 DoD_margin=-1.454
[seed 2] upd 21/390 step=10752 ep_ret=0.375 cap=0.00 kl_l=0.0106 kl_f=0.0111 sps=24.6
[seed 2] upd 22/390 step=11264 ep_ret=0.722 cap=0.00 kl_l=0.0112 kl_f=0.0130 sps=24.7
[seed 2] upd 23/390 step=11776 ep_ret=0.000 cap=0.00 kl_l=0.0069 kl_f=0.0098 sps=24.7
[seed 2] upd 24/390 step=12288 ep_ret=0.600 cap=0.00 kl_l=0.0062 kl_f=0.0108 sps=24.8
[seed 2] upd 25/390 step=12800 ep_ret=0.325 cap=0.00 kl_l=0.0066 kl_f=0.0106 sps=24.8
[seed 2] upd 26/390 step=13312 ep_ret=0.721 cap=0.00 kl_l=0.0066 kl_f=0.0119 sps=24.8
[seed 2] upd 27/390 step=13824 ep_ret=0.474 cap=0.00 kl_l=0.0072 kl_f=0.0114 sps=24.8
[seed 2] upd 28/390 step=14336 ep_ret=0.525 cap=0.00 kl_l=0.0091 kl_f=0.0105 sps=24.9
[seed 2] upd 29/390 step=14848 ep_ret=0.350 cap=0.00 kl_l=0.0063 kl_f=0.0087 sps=24.9
[seed 2] upd 30/390 step=15360 ep_ret=0.897 cap=0.00 kl_l=0.0087 kl_f=0.0100 sps=24.9
[seed 2] upd 31/390 step=15872 ep_ret=0.101 cap=0.00 kl_l=0.0066 kl_f=0.0097 sps=24.9
[seed 2] upd 32/390 step=16384 ep_ret=0.024 cap=0.00 kl_l=0.0065 kl_f=0.0097 sps=25.0
[seed 2] upd 33/390 step=16896 ep_ret=0.374 cap=0.00 kl_l=0.0073 kl_f=0.0102 sps=25.0
[seed 2] upd 34/390 step=17408 ep_ret=0.150 cap=0.00 kl_l=0.0097 kl_f=0.0110 sps=25.0
