cell chi 0.4 kappa 0.2 N 4 eps 20..39:
  ep 20: engaged-seen 16, AMB so far 5
  ep 21: engaged-seen 29, AMB so far 7
  ep 22: engaged-seen 45, AMB so far 11
  ep 23: engaged-seen 61, AMB so far 16
  ep 24: engaged-seen 80, AMB so far 22
  ep 25: engaged-seen 93, AMB so far 24
  ep 26: engaged-seen 108, AMB so far 28
  ep 27: engaged-seen 122, AMB so far 31
  ep 28: engaged-seen 133, AMB so far 33
  ep 29: engaged-seen 156, AMB so far 39
  ep 30: engaged-seen 174, AMB so far 44
  ep 31: engaged-seen 186, AMB so far 47
  ep 32: engaged-seen 199, AMB so far 50
  ep 33: engaged-seen 216, AMB so far 54
  ep 34: engaged-seen 234, AMB so far 57
  ep 35: engaged-seen 250, AMB so far 62
  ep 36: engaged-seen 266, AMB so far 67
  ep 37: engaged-seen 277, AMB so far 70
  ep 38: engaged-seen 294, AMB so far 74
  ep 39: engaged-seen 311, AMB so far 79
  -> AMB 79 scored 79 invalid 0 | p_close h/h2/h4 0.91/0.95/0.97 | U4 med 0.4285 U1 med 0.4285 dU med 0.0
cell chi 0.4 kappa 0.5 N 4 eps 20..39:
  ep 20: engaged-seen 16, AMB so far 6
  ep 21: engaged-seen 29, AMB so far 8
  ep 22: engaged-seen 45, AMB so far 12
  ep 23: engaged-seen 61, AMB so far 17
  ep 24: engaged-seen 80, AMB so far 23
  ep 25: engaged-seen 93, AMB so far 25
  ep 26: engaged-seen 108, AMB so far 29
  ep 27: engaged-seen 122, AMB so far 32
  ep 28: engaged-seen 133, AMB so far 34
  ep 29: engaged-seen 156, AMB so far 42
  ep 30: engaged-seen 174, AMB so far 47
  ep 31: engaged-seen 186, AMB so far 50
  ep 32: engaged-seen 199, AMB so far 53
  ep 33: engaged-seen 216, AMB so far 57
  ep 34: engaged-seen 234, AMB so far 61
  ep 35: engaged-seen 250, AMB so far 67
  ep 36: engaged-seen 266, AMB so far 72
  ep 37: engaged-seen 277, AMB so far 75
  ep 38: engaged-seen 294, AMB so far 79
  ep 39: engaged-seen 311, AMB so far 84
  -> AMB 84 scored 84 invalid 0 | p_close h/h2/h4 0.88/0.90/0.95 | U4 med 0.4756 U1 med 0.4756 dU med 0.0
cell chi 0.4 kappa 0.8 N 4 eps 20..39:
  ep 20: engaged-seen 16, AMB so far 6
  ep 21: engaged-seen 29, AMB so far 8
  ep 22: engaged-seen 30, AMB so far 8
  ep 23: engaged-seen 46, AMB so far 13
  ep 24: engaged-seen 65, AMB so far 19
  ep 25: engaged-seen 78, AMB so far 21
  ep 26: engaged-seen 93, AMB so far 25
  ep 27: engaged-seen 107, AMB so far 28
  ep 28: engaged-seen 113, AMB so far 29
  ep 29: engaged-seen 136, AMB so far 38
  ep 30: engaged-seen 154, AMB so far 43
  ep 31: engaged-seen 166, AMB so far 46
  ep 32: engaged-seen 179, AMB so far 49
  ep 33: engaged-seen 196, AMB so far 53
  ep 34: engaged-seen 214, AMB so far 57
  ep 35: engaged-seen 230, AMB so far 63
  ep 36: engaged-seen 246, AMB so far 68
  ep 37: engaged-seen 257, AMB so far 71
  ep 38: engaged-seen 274, AMB so far 75
  ep 39: engaged-seen 291, AMB so far 80
  -> AMB 80 scored 80 invalid 0 | p_close h/h2/h4 0.79/0.94/0.95 | U4 med 0.4758 U1 med 0.4758 dU med 0.0
cell chi 0.4 kappa 1.1 N 4 eps 20..39:
  ep 20: engaged-seen 16, AMB so far 6
  ep 21: engaged-seen 29, AMB so far 8
  ep 22: engaged-seen 29, AMB so far 8
  ep 23: engaged-seen 45, AMB so far 13
  ep 24: engaged-seen 64, AMB so far 19
  ep 25: engaged-seen 77, AMB so far 21
  ep 26: engaged-seen 92, AMB so far 25
  ep 27: engaged-seen 106, AMB so far 28
  ep 28: engaged-seen 111, AMB so far 28
  ep 29: engaged-seen 134, AMB so far 37
  ep 30: engaged-seen 152, AMB so far 42
  ep 31: engaged-seen 164, AMB so far 45
  ep 32: engaged-seen 177, AMB so far 48
  ep 33: engaged-seen 194, AMB so far 52
  ep 34: engaged-seen 212, AMB so far 56
  ep 35: engaged-seen 228, AMB so far 62
  ep 36: engaged-seen 244, AMB so far 67
  ep 37: engaged-seen 255, AMB so far 70
  ep 38: engaged-seen 272, AMB so far 74
  ep 39: engaged-seen 289, AMB so far 79
  -> AMB 79 scored 79 invalid 0 | p_close h/h2/h4 0.72/0.87/0.94 | U4 med 0.4601 U1 med 0.4601 dU med 0.0
cell chi 0.8 kappa 0.2 N 4 eps 20..39:
  ep 20: engaged-seen 18, AMB so far 11
  ep 21: engaged-seen 31, AMB so far 17
  ep 22: engaged-seen 49, AMB so far 27
  ep 23: engaged-seen 91, AMB so far 37
  ep 24: engaged-seen 131, AMB so far 47
  ep 25: engaged-seen 144, AMB so far 54
  ep 26: engaged-seen 158, AMB so far 61
  ep 27: engaged-seen 202, AMB so far 73
  ep 28: engaged-seen 214, AMB so far 78
  ep 29: engaged-seen 244, AMB so far 92
  ep 30: engaged-seen 263, AMB so far 104
  ep 31: engaged-seen 276, AMB so far 108
  ep 32: engaged-seen 290, AMB so far 115
  ep 33: engaged-seen 308, AMB so far 126
  ep 34: engaged-seen 327, AMB so far 134
  ep 35: engaged-seen 344, AMB so far 143
  ep 36: engaged-seen 362, AMB so far 154
  ep 37: engaged-seen 373, AMB so far 158
  ep 38: engaged-seen 391, AMB so far 166
  ep 39: engaged-seen 409, AMB so far 174
  -> AMB 100 scored 100 invalid 0 | p_close h/h2/h4 0.98/1.00/1.00 | U4 med 0.2979 U1 med 0.2979 dU med 0.0
-> results/phase3/gate7_full_0_5.json
